sample_id,segment,cell_type,disease_status,patient_id,slide_name,pancreatic.A.cell,acinar.cell,pancreatic.D.cell,type.B.pancreatic.cell,pancreatic.ductal.cell,mesenchymal.cell
GSM7084877_DSP-1001660007414-H-E02.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.35900292216547586,0.17756548624006643,0.0037212824917974784,0.12632043608140608,0.2795911533351873,0.0537987196860669
GSM7084878_DSP-1001660007414-H-E03.dcc,Panck,PanIN,healthy,Donor_8,4895-EC-S7,0.16637012163178846,0.2576058179261253,0.16527095562936142,0.021827891718513355,0.3705228235525301,0.018402389541681448
GSM7084879_DSP-1001660007414-H-E04.dcc,Panck,Duct,healthy,Donor_8,4895-EC-S7,0.23383667205736583,0.029417739623370694,0.15855523799638976,0,0.5507347638050889,0.027455586517784854
GSM7084880_DSP-1001660007414-H-E05.dcc,Panck,Duct,healthy,Donor_8,4895-EC-S7,0.25459297212269644,0.03765998617220037,0.13538710599498577,0,0.5412090334546811,0.03115090225543635
GSM7084881_DSP-1001660007414-H-E06.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.02757176272104102,0.10241089463644064,0.24912290226008335,0.04662605833818468,0.4997613392164412,0.07450704282780912
GSM7084882_DSP-1001660007414-H-E07.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.050165758412400785,0.11371762239862591,0.2168000202231251,0.021282820264732168,0.4922543128187281,0.10577946588238783
GSM7084883_DSP-1001660007414-H-E08.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.04590672508677085,0.19143150629832986,0.25250547008992724,0.017129749638285473,0.41652982480657963,0.07649672408010692
GSM7084884_DSP-1001660007414-H-E09.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0,0.4675681304008675,0.21719429244793859,0.004618077811922195,0.28026575105905377,0.030353748280217994
GSM7084885_DSP-1001660007414-H-E10.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0,0.47645727260706927,0.1776477104288778,0.0021352205431566305,0.3151296277018751,0.028630168719021267
GSM7084886_DSP-1001660007414-H-E11.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.30562960638147274,0.012864029959124834,0.0030447623063947675,0.02917668480488232,0.6127635131925359,0.03652140335558938
GSM7084887_DSP-1001660007414-H-E12.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.02583911693863988,0.0035330249620767647,0.13906393482511661,0.03213363528054497,0.7094826157790577,0.0899476722145641
GSM7084888_DSP-1001660007414-H-F01.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.2942033207126502,0.022093727168283044,0.02360958182643259,0.03721647986070553,0.5468378536067914,0.07603903682513721
GSM7084889_DSP-1001660007414-H-F02.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,0.08085820606638752,0.16764698992824534,0.11827404255549344,0.06707215813133294,0.5188440212999609,0.04730458201857987
GSM7084890_DSP-1001660007414-H-F03.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0,0.8726292666583224,0,0.11355829526934802,4.928683671632829e-4,0.013319569705166193
GSM7084891_DSP-1001660007414-H-F04.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0.004768346269160951,0.8929598061253595,0,0.09043333856343078,0.002282470732821093,0.0095560383092276
GSM7084892_DSP-1001660007414-H-F05.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0,0.9538008195922502,0.0013040318498952895,0.03332243346219005,0,0.011572715095664531
GSM7084893_DSP-1001660007414-H-F06.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0,0.9579802805457932,3.57419946522992e-4,0.03346722696543679,0,0.008195072542246992
GSM7084894_DSP-1001660007414-H-F07.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0.01991884409885404,0.6777166897139248,0,0.2785069645181276,0.0076395169995843734,0.01621798466950915
GSM7084895_DSP-1001660007414-H-F08.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0,0.9437799299266948,0.001041057497122581,0.03880906781140684,0.0035330114348924146,0.012836933329883319
GSM7084896_DSP-1001660009838-F-A02.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,0,0.3844352816097715,0.3241101156515857,0.009865351360818661,0.263709371253511,0.0178798801243131
GSM7084897_DSP-1001660009838-F-A03.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,0,0.5098142693756025,0.25995692633005285,0.006688810441944774,0.21663143276926583,0.006908561083134054
GSM7084898_DSP-1001660009838-F-A04.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,0.15087257923233,0.4215195575787433,0.19851352836844074,0.0015514483203014772,0.21611462828083036,0.011428258219354141
GSM7084899_DSP-1001660009838-F-A05.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,0,0.14015294474297402,0.4801182648305809,0.013140420633679067,0.35839416864392193,0.008194201148844085
